tile_path,label_id,label_name,video_id,frame_idx,x,y,tile
tiles/clean_highway_clean_highway1__f001572__x0512_y0256.jpg,0,clean,clean_highway_clean_highway1,1572,512,256,128
tiles/clean_highway_clean_highway1__f001554__x0512_y0256.jpg,0,clean,clean_highway_clean_highway1,1554,512,256,128
tiles/clean_highway_clean_highway1__f000966__x0512_y0256.jpg,0,clean,clean_highway_clean_highway1,966,512,256,128
tiles/clean_highway_clean_highway1__f001344__x0256_y0256.jpg,0,clean,clean_highway_clean_highway1,1344,256,256,128
tiles/clean_highway_clean_highway1__f001380__x0256_y0256.jpg,0,clean,clean_highway_clean_highway1,1380,256,256,128
tiles/clean_highway_clean_highway1__f000816__x0384_y0256.jpg,0,clean,clean_highway_clean_highway1,816,384,256,128
tiles/clean_highway_clean_highway1__f001248__x0384_y0256.jpg,0,clean,clean_highway_clean_highway1,1248,384,256,128
tiles/clean_highway_clean_highway1__f001530__x0256_y0256.jpg,0,clean,clean_highway_clean_highway1,1530,256,256,128
tiles/clean_highway_clean_highway1__f000738__x0512_y0256.jpg,0,clean,clean_highway_clean_highway1,738,512,256,128
tiles/clean_highway_clean_highway1__f001716__x0256_y0256.jpg,1,unclean,clean_highway_clean_highway1,1716,256,256,128
tiles/clean_highway_clean_highway1__f000564__x0384_y0256.jpg,0,clean,clean_highway_clean_highway1,564,384,256,128
tiles/clean_highway_clean_highway1__f000474__x0512_y0256.jpg,0,clean,clean_highway_clean_highway1,474,512,256,128
tiles/clean_highway_clean_highway1__f001578__x0256_y0256.jpg,2,ignore,clean_highway_clean_highway1,1578,256,256,128
tiles/clean_highway_clean_highway1__f000318__x0256_y0256.jpg,0,clean,clean_highway_clean_highway1,318,256,256,128
tiles/clean_highway_clean_highway1__f000354__x0512_y0256.jpg,0,clean,clean_highway_clean_highway1,354,512,256,128
tiles/clean_highway_clean_highway1__f000888__x0384_y0256.jpg,0,clean,clean_highway_clean_highway1,888,384,256,128
tiles/clean_highway_clean_highway1__f000954__x0256_y0256.jpg,0,clean,clean_highway_clean_highway1,954,256,256,128
tiles/clean_highway_clean_highway1__f001368__x0512_y0256.jpg,0,clean,clean_highway_clean_highway1,1368,512,256,128
tiles/clean_highway_clean_highway1__f001224__x0384_y0256.jpg,0,clean,clean_highway_clean_highway1,1224,384,256,128
tiles/clean_highway_clean_highway1__f000888__x0512_y0256.jpg,0,clean,clean_highway_clean_highway1,888,512,256,128
tiles/clean_highway_clean_highway1__f001644__x0256_y0256.jpg,0,clean,clean_highway_clean_highway1,1644,256,256,128
tiles/clean_highway_clean_highway1__f000192__x0384_y0256.jpg,0,clean,clean_highway_clean_highway1,192,384,256,128
tiles/clean_highway_clean_highway1__f001086__x0384_y0256.jpg,0,clean,clean_highway_clean_highway1,1086,384,256,128
tiles/clean_highway_clean_highway1__f001236__x0384_y0256.jpg,0,clean,clean_highway_clean_highway1,1236,384,256,128
tiles/clean_highway_clean_highway1__f001050__x0384_y0256.jpg,0,clean,clean_highway_clean_highway1,1050,384,256,128
tiles/clean_highway_clean_highway1__f000576__x0384_y0256.jpg,0,clean,clean_highway_clean_highway1,576,384,256,128
tiles/clean_highway_clean_highway1__f001674__x0384_y0256.jpg,0,clean,clean_highway_clean_highway1,1674,384,256,128
tiles/clean_highway_clean_highway1__f001104__x0256_y0256.jpg,1,unclean,clean_highway_clean_highway1,1104,256,256,128
tiles/clean_highway_clean_highway1__f001398__x0256_y0256.jpg,0,clean,clean_highway_clean_highway1,1398,256,256,128
tiles/clean_highway_clean_highway1__f001212__x0512_y0256.jpg,0,clean,clean_highway_clean_highway1,1212,512,256,128
tiles/clean_highway_clean_highway1__f001242__x0256_y0256.jpg,0,clean,clean_highway_clean_highway1,1242,256,256,128
tiles/clean_highway_clean_highway1__f000120__x0384_y0256.jpg,0,clean,clean_highway_clean_highway1,120,384,256,128
tiles/clean_highway_clean_highway1__f001014__x0256_y0256.jpg,0,clean,clean_highway_clean_highway1,1014,256,256,128
tiles/clean_highway_clean_highway1__f001170__x0256_y0256.jpg,2,ignore,clean_highway_clean_highway1,1170,256,256,128
tiles/clean_highway_clean_highway1__f001536__x0256_y0256.jpg,0,clean,clean_highway_clean_highway1,1536,256,256,128
tiles/clean_highway_clean_highway1__f000114__x0256_y0256.jpg,0,clean,clean_highway_clean_highway1,114,256,256,128
tiles/clean_highway_clean_highway1__f001632__x0384_y0256.jpg,0,clean,clean_highway_clean_highway1,1632,384,256,128
tiles/clean_highway_clean_highway1__f000288__x0512_y0256.jpg,0,clean,clean_highway_clean_highway1,288,512,256,128
tiles/clean_highway_clean_highway1__f000822__x0256_y0256.jpg,0,clean,clean_highway_clean_highway1,822,256,256,128
tiles/clean_highway_clean_highway1__f000120__x0256_y0256.jpg,2,ignore,clean_highway_clean_highway1,120,256,256,128
tiles/clean_highway_clean_highway1__f000486__x0384_y0256.jpg,0,clean,clean_highway_clean_highway1,486,384,256,128
tiles/clean_highway_clean_highway1__f001368__x0256_y0256.jpg,0,clean,clean_highway_clean_highway1,1368,256,256,128
tiles/clean_highway_clean_highway1__f000024__x0384_y0256.jpg,2,ignore,clean_highway_clean_highway1,24,384,256,128
tiles/clean_highway_clean_highway1__f000066__x0384_y0256.jpg,0,clean,clean_highway_clean_highway1,66,384,256,128
tiles/clean_highway_clean_highway1__f000510__x0384_y0256.jpg,0,clean,clean_highway_clean_highway1,510,384,256,128
tiles/clean_highway_clean_highway1__f001122__x0512_y0256.jpg,1,unclean,clean_highway_clean_highway1,1122,512,256,128
tiles/clean_highway_clean_highway1__f000456__x0256_y0256.jpg,0,clean,clean_highway_clean_highway1,456,256,256,128
tiles/clean_highway_clean_highway1__f000102__x0512_y0256.jpg,1,unclean,clean_highway_clean_highway1,102,512,256,128
tiles/clean_highway_clean_highway1__f000906__x0384_y0256.jpg,0,clean,clean_highway_clean_highway1,906,384,256,128
tiles/clean_highway_clean_highway1__f000186__x0384_y0256.jpg,0,clean,clean_highway_clean_highway1,186,384,256,128
tiles/clean_highway_clean_highway1__f000408__x0256_y0256.jpg,2,ignore,clean_highway_clean_highway1,408,256,256,128
tiles/clean_highway_clean_highway1__f000276__x0512_y0256.jpg,0,clean,clean_highway_clean_highway1,276,512,256,128
tiles/clean_highway_clean_highway1__f000768__x0384_y0256.jpg,0,clean,clean_highway_clean_highway1,768,384,256,128
tiles/clean_highway_clean_highway1__f000126__x0256_y0256.jpg,0,clean,clean_highway_clean_highway1,126,256,256,128
tiles/clean_highway_clean_highway1__f001698__x0256_y0256.jpg,0,clean,clean_highway_clean_highway1,1698,256,256,128
tiles/clean_highway_clean_highway1__f001110__x0512_y0256.jpg,1,unclean,clean_highway_clean_highway1,1110,512,256,128
tiles/clean_highway_clean_highway1__f000708__x0384_y0256.jpg,0,clean,clean_highway_clean_highway1,708,384,256,128
tiles/clean_highway_clean_highway1__f000444__x0256_y0256.jpg,0,clean,clean_highway_clean_highway1,444,256,256,128
