tile_path,label_id,label_name,video_id,frame_idx,x,y,tile
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/dirty_highway_dirty_highway8__f001204__x0448_y0224.jpg,,,dirty_highway_dirty_highway8,1204,448,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/dirty_highway_dirty_highway10__f000024__x0448_y0224.jpg,2,ignore,dirty_highway_dirty_highway10,24,448,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/clean_highway_clean_highway9__f000582__x0448_y0224.jpg,,,clean_highway_clean_highway9,582,448,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/dirty_sector_dirty_sector10__f001470__x0224_y0224.jpg,,,dirty_sector_dirty_sector10,1470,224,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/dirty_sector_dirty_sector1__f001668__x0224_y0224.jpg,1,unclean,dirty_sector_dirty_sector1,1668,224,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/dirty_sector_dirty_sector2__f001422__x0224_y0224.jpg,,,dirty_sector_dirty_sector2,1422,224,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/dirty_sector_dirty_sector4__f001320__x0448_y0224.jpg,2,ignore,dirty_sector_dirty_sector4,1320,448,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/dirty_sector_dirty_sector10__f004638__x0224_y0224.jpg,,,dirty_sector_dirty_sector10,4638,224,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/dirty_highway_dirty_highway10__f000219__x0448_y0224.jpg,1,unclean,dirty_highway_dirty_highway10,219,448,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/dirty_highway_dirty_highway4__f001554__x0448_y0224.jpg,2,ignore,dirty_highway_dirty_highway4,1554,448,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/clean_highway_clean_highway11__f001295__x0448_y0224.jpg,0,clean,clean_highway_clean_highway11,1295,448,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/dirty_highway_dirty_highway13__f000582__x0224_y0224.jpg,1,unclean,dirty_highway_dirty_highway13,582,224,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/clean_highway_clean_highway11__f002130__x0224_y0224.jpg,,,clean_highway_clean_highway11,2130,224,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/dirty_sector_dirty_sector1__f001656__x0224_y0224.jpg,,,dirty_sector_dirty_sector1,1656,224,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/dirty_sector_dirty_sector7__f005952__x0224_y0224.jpg,2,ignore,dirty_sector_dirty_sector7,5952,224,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/dirty_sector_dirty_sector7__f001686__x0224_y0224.jpg,,,dirty_sector_dirty_sector7,1686,224,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/dirty_sector_dirty_sector5__f000138__x0224_y0224.jpg,1,unclean,dirty_sector_dirty_sector5,138,224,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/dirty_sector_dirty_sector6__f000372__x0224_y0224.jpg,1,unclean,dirty_sector_dirty_sector6,372,224,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/dirty_sector_dirty_sector7__f007284__x0224_y0224.jpg,2,ignore,dirty_sector_dirty_sector7,7284,224,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/dirty_highway_dirty_highway4__f001152__x0448_y0224.jpg,,,dirty_highway_dirty_highway4,1152,448,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/clean_highway_clean_highway2__f001422__x0224_y0224.jpg,,,clean_highway_clean_highway2,1422,224,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/clean_highway_clean_highway1__f001668__x0224_y0224.jpg,,,clean_highway_clean_highway1,1668,224,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/dirty_highway_dirty_highway4__f001680__x0224_y0224.jpg,1,unclean,dirty_highway_dirty_highway4,1680,224,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/clean_highway_clean_highway11__f001490__x0448_y0224.jpg,,,clean_highway_clean_highway11,1490,448,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/dirty_sector_dirty_sector9__f000582__x0448_y0224.jpg,,,dirty_sector_dirty_sector9,582,448,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/clean_highway_clean_highway11__f002735__x0224_y0224.jpg,,,clean_highway_clean_highway11,2735,224,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/dirty_highway_dirty_highway9__f000627__x0224_y0224.jpg,2,ignore,dirty_highway_dirty_highway9,627,224,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/clean_highway_clean_highway1__f001656__x0224_y0224.jpg,,,clean_highway_clean_highway1,1656,224,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/dirty_sector_dirty_sector10__f004200__x0224_y0224.jpg,,,dirty_sector_dirty_sector10,4200,224,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/dirty_highway_dirty_highway7__f001326__x0448_y0224.jpg,,,dirty_highway_dirty_highway7,1326,448,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/clean_highway_clean_highway5__f000138__x0224_y0224.jpg,,,clean_highway_clean_highway5,138,224,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/dirty_highway_dirty_highway12__f001470__x0224_y0224.jpg,1,unclean,dirty_highway_dirty_highway12,1470,224,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/dirty_highway_dirty_highway5__f000498__x0448_y0224.jpg,,,dirty_highway_dirty_highway5,498,448,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/clean_highway_clean_highway7__f001686__x0224_y0224.jpg,,,clean_highway_clean_highway7,1686,224,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/dirty_sector_dirty_sector9__f000564__x0448_y0224.jpg,,,dirty_sector_dirty_sector9,564,448,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/dirty_sector_dirty_sector2__f001710__x0448_y0224.jpg,,,dirty_sector_dirty_sector2,1710,448,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/dirty_sector_dirty_sector7__f002412__x0224_y0224.jpg,,,dirty_sector_dirty_sector7,2412,224,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/dirty_sector_dirty_sector7__f000816__x0448_y0224.jpg,,,dirty_sector_dirty_sector7,816,448,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/clean_highway_clean_highway4__f000988__x0224_y0224.jpg,,,clean_highway_clean_highway4,988,224,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/clean_highway_clean_highway6__f000645__x0448_y0224.jpg,2,ignore,clean_highway_clean_highway6,645,448,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/clean_highway_clean_highway9__f000162__x0448_y0224.jpg,0,clean,clean_highway_clean_highway9,162,448,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/dirty_highway_dirty_highway8__f001136__x0224_y0224.jpg,,,dirty_highway_dirty_highway8,1136,224,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/dirty_sector_dirty_sector7__f007188__x0448_y0224.jpg,,,dirty_sector_dirty_sector7,7188,448,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/dirty_highway_dirty_highway3__f000342__x0224_y0224.jpg,1,unclean,dirty_highway_dirty_highway3,342,224,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/dirty_sector_dirty_sector5__f000234__x0448_y0224.jpg,0,clean,dirty_sector_dirty_sector5,234,448,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/dirty_highway_dirty_highway3__f001932__x0448_y0224.jpg,,,dirty_highway_dirty_highway3,1932,448,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/clean_highway_clean_highway2__f000966__x0224_y0224.jpg,,,clean_highway_clean_highway2,966,224,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/dirty_highway_dirty_highway8__f001108__x0224_y0224.jpg,0,clean,dirty_highway_dirty_highway8,1108,224,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/dirty_sector_dirty_sector9__f000288__x0224_y0224.jpg,1,unclean,dirty_sector_dirty_sector9,288,224,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/clean_highway_clean_highway11__f001675__x0448_y0224.jpg,,,clean_highway_clean_highway11,1675,448,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/dirty_highway_dirty_highway13__f000162__x0224_y0224.jpg,0,clean,dirty_highway_dirty_highway13,162,224,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/clean_highway_clean_highway3__f000333__x0224_y0224.jpg,0,clean,clean_highway_clean_highway3,333,224,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/dirty_highway_dirty_highway12__f001344__x0448_y0224.jpg,,,dirty_highway_dirty_highway12,1344,448,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/dirty_sector_dirty_sector10__f002136__x0448_y0224.jpg,,,dirty_sector_dirty_sector10,2136,448,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/dirty_sector_dirty_sector7__f000828__x0448_y0224.jpg,,,dirty_sector_dirty_sector7,828,448,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/dirty_sector_dirty_sector7__f001266__x0224_y0224.jpg,1,unclean,dirty_sector_dirty_sector7,1266,224,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/clean_highway_clean_highway2__f001710__x0448_y0224.jpg,,,clean_highway_clean_highway2,1710,448,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/clean_highway_clean_highway4__f001012__x0224_y0224.jpg,,,clean_highway_clean_highway4,1012,224,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/dirty_highway_dirty_highway3__f000744__x0224_y0224.jpg,,,dirty_highway_dirty_highway3,744,224,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/clean_highway_clean_highway9__f000564__x0448_y0224.jpg,,,clean_highway_clean_highway9,564,448,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/clean_highway_clean_highway7__f000816__x0448_y0224.jpg,0,clean,clean_highway_clean_highway7,816,448,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/dirty_highway_dirty_highway6__f001842__x0224_y0224.jpg,,,dirty_highway_dirty_highway6,1842,224,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/dirty_sector_dirty_sector9__f000162__x0448_y0224.jpg,1,unclean,dirty_sector_dirty_sector9,162,448,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/dirty_highway_dirty_highway13__f000288__x0448_y0224.jpg,,,dirty_highway_dirty_highway13,288,448,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/clean_highway_clean_highway5__f000234__x0448_y0224.jpg,,,clean_highway_clean_highway5,234,448,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/dirty_highway_dirty_highway4__f001260__x0224_y0224.jpg,,,dirty_highway_dirty_highway4,1260,224,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/clean_highway_clean_highway11__f001070__x0448_y0224.jpg,,,clean_highway_clean_highway11,1070,448,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/dirty_sector_dirty_sector7__f004416__x0224_y0224.jpg,,,dirty_sector_dirty_sector7,4416,224,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/dirty_highway_dirty_highway12__f002136__x0448_y0224.jpg,,,dirty_highway_dirty_highway12,2136,448,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/dirty_highway_dirty_highway11__f001536__x0448_y0224.jpg,,,dirty_highway_dirty_highway11,1536,448,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/dirty_highway_dirty_highway3__f000096__x0448_y0224.jpg,,,dirty_highway_dirty_highway3,96,448,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/dirty_sector_dirty_sector10__f001344__x0448_y0224.jpg,,,dirty_sector_dirty_sector10,1344,448,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/clean_highway_clean_highway9__f000288__x0224_y0224.jpg,,,clean_highway_clean_highway9,288,224,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/dirty_highway_dirty_highway8__f000892__x0224_y0224.jpg,1,unclean,dirty_highway_dirty_highway8,892,224,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/dirty_sector_dirty_sector7__f004428__x0224_y0224.jpg,,,dirty_sector_dirty_sector7,4428,224,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/dirty_highway_dirty_highway7__f001014__x0224_y0224.jpg,,,dirty_highway_dirty_highway7,1014,224,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/clean_highway_clean_highway6__f000040__x0448_y0224.jpg,,,clean_highway_clean_highway6,40,448,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/dirty_sector_dirty_sector2__f000966__x0224_y0224.jpg,0,clean,dirty_sector_dirty_sector2,966,224,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/dirty_highway_dirty_highway4__f000810__x0448_y0224.jpg,2,ignore,dirty_highway_dirty_highway4,810,448,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/clean_highway_clean_highway7__f000828__x0448_y0224.jpg,,,clean_highway_clean_highway7,828,448,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/dirty_highway_dirty_highway11__f000894__x0448_y0224.jpg,,,dirty_highway_dirty_highway11,894,448,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/dirty_highway_dirty_highway5__f000078__x0448_y0224.jpg,2,ignore,dirty_highway_dirty_highway5,78,448,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/clean_highway_clean_highway7__f001266__x0224_y0224.jpg,,,clean_highway_clean_highway7,1266,224,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/dirty_highway_dirty_highway13__f000564__x0224_y0224.jpg,,,dirty_highway_dirty_highway13,564,224,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/clean_highway_clean_highway3__f000735__x0224_y0224.jpg,0,clean,clean_highway_clean_highway3,735,224,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/dirty_sector_dirty_sector10__f002634__x0448_y0224.jpg,,,dirty_sector_dirty_sector10,2634,448,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/dirty_sector_dirty_sector6__f000090__x0224_y0224.jpg,1,unclean,dirty_sector_dirty_sector6,90,224,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/dirty_highway_dirty_highway12__f001446__x0448_y0224.jpg,,,dirty_highway_dirty_highway12,1446,448,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/dirty_sector_dirty_sector1__f001266__x0448_y0224.jpg,0,clean,dirty_sector_dirty_sector1,1266,448,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/dirty_sector_dirty_sector7__f003960__x0448_y0224.jpg,,,dirty_sector_dirty_sector7,3960,448,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/clean_highway_clean_highway11__f002500__x0448_y0224.jpg,2,ignore,clean_highway_clean_highway11,2500,448,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/dirty_sector_dirty_sector9__f000258__x0448_y0224.jpg,,,dirty_sector_dirty_sector9,258,448,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/dirty_sector_dirty_sector10__f004236__x0448_y0224.jpg,,,dirty_sector_dirty_sector10,4236,448,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/dirty_sector_dirty_sector1__f000828__x0224_y0224.jpg,0,clean,dirty_sector_dirty_sector1,828,224,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/dirty_highway_dirty_highway13__f000660__x0224_y0224.jpg,,,dirty_highway_dirty_highway13,660,224,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/dirty_highway_dirty_highway10__f000414__x0224_y0224.jpg,0,clean,dirty_highway_dirty_highway10,414,224,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/dirty_sector_dirty_sector3__f000234__x0224_y0224.jpg,2,ignore,dirty_sector_dirty_sector3,234,224,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/dirty_highway_dirty_highway5__f000342__x0448_y0224.jpg,,,dirty_highway_dirty_highway5,342,448,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/dirty_highway_dirty_highway6__f000108__x0448_y0224.jpg,,,dirty_highway_dirty_highway6,108,448,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/clean_highway_clean_highway9__f000660__x0448_y0224.jpg,,,clean_highway_clean_highway9,660,448,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/dirty_highway_dirty_highway4__f001164__x0224_y0224.jpg,,,dirty_highway_dirty_highway4,1164,224,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/clean_highway_clean_highway6__f000695__x0224_y0224.jpg,1,unclean,clean_highway_clean_highway6,695,224,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/dirty_sector_dirty_sector7__f002310__x0224_y0224.jpg,,,dirty_sector_dirty_sector7,2310,224,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/dirty_sector_dirty_sector1__f000816__x0224_y0224.jpg,1,unclean,dirty_sector_dirty_sector1,816,224,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/dirty_sector_dirty_sector4__f001710__x0224_y0224.jpg,2,ignore,dirty_sector_dirty_sector4,1710,224,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/dirty_highway_dirty_highway7__f000960__x0448_y0224.jpg,,,dirty_highway_dirty_highway7,960,448,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/dirty_sector_dirty_sector7__f007158__x0224_y0224.jpg,,,dirty_sector_dirty_sector7,7158,224,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/dirty_highway_dirty_highway11__f001632__x0448_y0224.jpg,2,ignore,dirty_highway_dirty_highway11,1632,448,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/dirty_highway_dirty_highway12__f002232__x0448_y0224.jpg,,,dirty_highway_dirty_highway12,2232,448,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/clean_highway_clean_highway9__f000258__x0448_y0224.jpg,,,clean_highway_clean_highway9,258,448,224,224
/Users/shubhamfufal/kaushal/video_analysis_script/data/tiles_224/tiles/clean_highway_clean_highway1__f001266__x0448_y0224.jpg,1,unclean,clean_highway_clean_highway1,1266,448,224,224
