tile_path,label_id,label_name,video_id,frame_idx,x,y,tile
data/labeled_subset/tiles/clean_highway_clean_highway1__f001590__x0448_y0224.jpg,1,unclean_road,clean_highway_clean_highway1,1590,448,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f000564__x0224_y0224.jpg,1,unclean_road,clean_highway_clean_highway1,564,224,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f000840__x0224_y0224.jpg,0,clean_road,clean_highway_clean_highway1,840,224,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f000288__x0448_y0224.jpg,0,clean_road,clean_highway_clean_highway1,288,448,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f000324__x0448_y0224.jpg,0,clean_road,clean_highway_clean_highway1,324,448,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f000210__x0224_y0224.jpg,0,clean_road,clean_highway_clean_highway1,210,224,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f001056__x0448_y0224.jpg,0,clean_road,clean_highway_clean_highway1,1056,448,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f001620__x0448_y0224.jpg,0,clean_road,clean_highway_clean_highway1,1620,448,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f001350__x0448_y0224.jpg,0,clean_road,clean_highway_clean_highway1,1350,448,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f001572__x0448_y0224.jpg,1,unclean_road,clean_highway_clean_highway1,1572,448,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f001488__x0448_y0224.jpg,0,clean_road,clean_highway_clean_highway1,1488,448,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f000834__x0224_y0224.jpg,0,clean_road,clean_highway_clean_highway1,834,224,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f001140__x0224_y0224.jpg,1,unclean_road,clean_highway_clean_highway1,1140,224,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f001128__x0448_y0224.jpg,1,unclean_road,clean_highway_clean_highway1,1128,448,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f000876__x0224_y0224.jpg,0,clean_road,clean_highway_clean_highway1,876,224,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f001560__x0448_y0224.jpg,0,clean_road,clean_highway_clean_highway1,1560,448,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f000180__x0224_y0224.jpg,0,clean_road,clean_highway_clean_highway1,180,224,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f000516__x0224_y0224.jpg,0,clean_road,clean_highway_clean_highway1,516,224,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f001458__x0448_y0224.jpg,0,clean_road,clean_highway_clean_highway1,1458,448,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f000648__x0224_y0224.jpg,0,clean_road,clean_highway_clean_highway1,648,224,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f000822__x0448_y0224.jpg,0,clean_road,clean_highway_clean_highway1,822,448,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f001554__x0224_y0224.jpg,0,clean_road,clean_highway_clean_highway1,1554,224,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f000936__x0448_y0224.jpg,1,unclean_road,clean_highway_clean_highway1,936,448,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f000966__x0224_y0224.jpg,0,clean_road,clean_highway_clean_highway1,966,224,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f000882__x0448_y0224.jpg,0,clean_road,clean_highway_clean_highway1,882,448,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f001668__x0224_y0224.jpg,1,unclean_road,clean_highway_clean_highway1,1668,224,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f001494__x0448_y0224.jpg,0,clean_road,clean_highway_clean_highway1,1494,448,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f000036__x0448_y0224.jpg,0,clean_road,clean_highway_clean_highway1,36,448,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f000006__x0448_y0224.jpg,2,ignore,clean_highway_clean_highway1,6,448,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f000828__x0448_y0224.jpg,0,clean_road,clean_highway_clean_highway1,828,448,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f000696__x0224_y0224.jpg,0,clean_road,clean_highway_clean_highway1,696,224,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f000420__x0224_y0224.jpg,0,clean_road,clean_highway_clean_highway1,420,224,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f000294__x0448_y0224.jpg,0,clean_road,clean_highway_clean_highway1,294,448,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f001122__x0448_y0224.jpg,1,unclean_road,clean_highway_clean_highway1,1122,448,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f000732__x0224_y0224.jpg,0,clean_road,clean_highway_clean_highway1,732,224,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f001086__x0224_y0224.jpg,1,unclean_road,clean_highway_clean_highway1,1086,224,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f000576__x0224_y0224.jpg,0,clean_road,clean_highway_clean_highway1,576,224,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f000462__x0448_y0224.jpg,0,clean_road,clean_highway_clean_highway1,462,448,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f000882__x0224_y0224.jpg,1,unclean_road,clean_highway_clean_highway1,882,224,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f000156__x0448_y0224.jpg,0,clean_road,clean_highway_clean_highway1,156,448,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f000150__x0224_y0224.jpg,0,clean_road,clean_highway_clean_highway1,150,224,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f000954__x0224_y0224.jpg,0,clean_road,clean_highway_clean_highway1,954,224,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f000780__x0448_y0224.jpg,0,clean_road,clean_highway_clean_highway1,780,448,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f001542__x0448_y0224.jpg,0,clean_road,clean_highway_clean_highway1,1542,448,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f000774__x0448_y0224.jpg,0,clean_road,clean_highway_clean_highway1,774,448,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f000744__x0224_y0224.jpg,0,clean_road,clean_highway_clean_highway1,744,224,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f000090__x0224_y0224.jpg,1,unclean_road,clean_highway_clean_highway1,90,224,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f000396__x0224_y0224.jpg,0,clean_road,clean_highway_clean_highway1,396,224,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f001578__x0224_y0224.jpg,2,ignore,clean_highway_clean_highway1,1578,224,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f000300__x0448_y0224.jpg,0,clean_road,clean_highway_clean_highway1,300,448,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f000954__x0448_y0224.jpg,2,ignore,clean_highway_clean_highway1,954,448,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f001368__x0448_y0224.jpg,2,ignore,clean_highway_clean_highway1,1368,448,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f001008__x0448_y0224.jpg,2,ignore,clean_highway_clean_highway1,1008,448,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f001110__x0224_y0224.jpg,1,unclean_road,clean_highway_clean_highway1,1110,224,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f000150__x0448_y0224.jpg,1,unclean_road,clean_highway_clean_highway1,150,448,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f000462__x0224_y0224.jpg,0,clean_road,clean_highway_clean_highway1,462,224,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f000510__x0224_y0224.jpg,0,clean_road,clean_highway_clean_highway1,510,224,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f001338__x0448_y0224.jpg,0,clean_road,clean_highway_clean_highway1,1338,448,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f000786__x0448_y0224.jpg,0,clean_road,clean_highway_clean_highway1,786,448,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f000900__x0448_y0224.jpg,0,clean_road,clean_highway_clean_highway1,900,448,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f001410__x0224_y0224.jpg,0,clean_road,clean_highway_clean_highway1,1410,224,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f000840__x0448_y0224.jpg,0,clean_road,clean_highway_clean_highway1,840,448,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f000996__x0448_y0224.jpg,1,unclean_road,clean_highway_clean_highway1,996,448,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f001584__x0448_y0224.jpg,2,ignore,clean_highway_clean_highway1,1584,448,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f001014__x0448_y0224.jpg,2,ignore,clean_highway_clean_highway1,1014,448,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f001302__x0448_y0224.jpg,0,clean_road,clean_highway_clean_highway1,1302,448,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f000984__x0224_y0224.jpg,0,clean_road,clean_highway_clean_highway1,984,224,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f001140__x0448_y0224.jpg,0,clean_road,clean_highway_clean_highway1,1140,448,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f001182__x0224_y0224.jpg,1,unclean_road,clean_highway_clean_highway1,1182,224,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f001500__x0448_y0224.jpg,1,unclean_road,clean_highway_clean_highway1,1500,448,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f000342__x0448_y0224.jpg,1,unclean_road,clean_highway_clean_highway1,342,448,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f000162__x0448_y0224.jpg,1,unclean_road,clean_highway_clean_highway1,162,448,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f001278__x0448_y0224.jpg,1,unclean_road,clean_highway_clean_highway1,1278,448,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f001470__x0224_y0224.jpg,0,clean_road,clean_highway_clean_highway1,1470,224,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f001230__x0448_y0224.jpg,0,clean_road,clean_highway_clean_highway1,1230,448,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f001374__x0224_y0224.jpg,0,clean_road,clean_highway_clean_highway1,1374,224,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f001218__x0224_y0224.jpg,0,clean_road,clean_highway_clean_highway1,1218,224,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f000912__x0448_y0224.jpg,0,clean_road,clean_highway_clean_highway1,912,448,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f001584__x0224_y0224.jpg,2,ignore,clean_highway_clean_highway1,1584,224,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f000960__x0448_y0224.jpg,2,ignore,clean_highway_clean_highway1,960,448,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f001566__x0448_y0224.jpg,2,ignore,clean_highway_clean_highway1,1566,448,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f001362__x0224_y0224.jpg,0,clean_road,clean_highway_clean_highway1,1362,224,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f001344__x0448_y0224.jpg,2,ignore,clean_highway_clean_highway1,1344,448,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f001686__x0224_y0224.jpg,2,ignore,clean_highway_clean_highway1,1686,224,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f001518__x0224_y0224.jpg,0,clean_road,clean_highway_clean_highway1,1518,224,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f000246__x0224_y0224.jpg,2,ignore,clean_highway_clean_highway1,246,224,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f001266__x0448_y0224.jpg,2,ignore,clean_highway_clean_highway1,1266,448,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f000066__x0448_y0224.jpg,0,clean_road,clean_highway_clean_highway1,66,448,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f001686__x0448_y0224.jpg,0,clean_road,clean_highway_clean_highway1,1686,448,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f001170__x0224_y0224.jpg,0,clean_road,clean_highway_clean_highway1,1170,224,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f000114__x0224_y0224.jpg,0,clean_road,clean_highway_clean_highway1,114,224,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f001260__x0224_y0224.jpg,0,clean_road,clean_highway_clean_highway1,1260,224,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f000438__x0224_y0224.jpg,0,clean_road,clean_highway_clean_highway1,438,224,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f000984__x0448_y0224.jpg,1,unclean_road,clean_highway_clean_highway1,984,448,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f000030__x0224_y0224.jpg,2,ignore,clean_highway_clean_highway1,30,224,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f000732__x0448_y0224.jpg,1,unclean_road,clean_highway_clean_highway1,732,448,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f001212__x0224_y0224.jpg,0,clean_road,clean_highway_clean_highway1,1212,224,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f000096__x0224_y0224.jpg,1,unclean_road,clean_highway_clean_highway1,96,224,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f000066__x0224_y0224.jpg,0,clean_road,clean_highway_clean_highway1,66,224,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f001374__x0448_y0224.jpg,0,clean_road,clean_highway_clean_highway1,1374,448,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f000534__x0448_y0224.jpg,0,clean_road,clean_highway_clean_highway1,534,448,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f000072__x0448_y0224.jpg,1,unclean_road,clean_highway_clean_highway1,72,448,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f000570__x0448_y0224.jpg,0,clean_road,clean_highway_clean_highway1,570,448,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f000636__x0448_y0224.jpg,0,clean_road,clean_highway_clean_highway1,636,448,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f000600__x0224_y0224.jpg,1,unclean_road,clean_highway_clean_highway1,600,224,224,224
data/labeled_subset/tiles/clean_highway_clean_highway1__f001506__x0448_y0224.jpg,0,clean_road,clean_highway_clean_highway1,1506,448,224,224
