tile_path,label_id,label_name,video_id,frame_idx,x,y,tile
tiles/dirty_highway_dirty_highway10__f000024__x0448_y0224.jpg,2.0,ignore,dirty_highway_dirty_highway10,24,448,224,224
tiles/dirty_sector_dirty_sector1__f001668__x0224_y0224.jpg,1.0,unclean,dirty_sector_dirty_sector1,1668,224,224,224
tiles/dirty_sector_dirty_sector4__f001320__x0448_y0224.jpg,2.0,ignore,dirty_sector_dirty_sector4,1320,448,224,224
tiles/dirty_highway_dirty_highway10__f000219__x0448_y0224.jpg,1.0,unclean,dirty_highway_dirty_highway10,219,448,224,224
tiles/dirty_highway_dirty_highway4__f001554__x0448_y0224.jpg,2.0,ignore,dirty_highway_dirty_highway4,1554,448,224,224
tiles/clean_highway_clean_highway11__f001295__x0448_y0224.jpg,0.0,clean,clean_highway_clean_highway11,1295,448,224,224
tiles/dirty_sector_dirty_sector7__f005952__x0224_y0224.jpg,2.0,ignore,dirty_sector_dirty_sector7,5952,224,224,224
tiles/dirty_sector_dirty_sector6__f000372__x0224_y0224.jpg,1.0,unclean,dirty_sector_dirty_sector6,372,224,224,224
tiles/dirty_sector_dirty_sector7__f007284__x0224_y0224.jpg,2.0,ignore,dirty_sector_dirty_sector7,7284,224,224,224
tiles/dirty_highway_dirty_highway4__f001680__x0224_y0224.jpg,1.0,unclean,dirty_highway_dirty_highway4,1680,224,224,224
tiles/dirty_highway_dirty_highway9__f000627__x0224_y0224.jpg,2.0,ignore,dirty_highway_dirty_highway9,627,224,224,224
tiles/clean_highway_clean_highway6__f000645__x0448_y0224.jpg,2.0,ignore,clean_highway_clean_highway6,645,448,224,224
tiles/clean_highway_clean_highway9__f000162__x0448_y0224.jpg,0.0,clean,clean_highway_clean_highway9,162,448,224,224
tiles/dirty_highway_dirty_highway3__f000342__x0224_y0224.jpg,1.0,unclean,dirty_highway_dirty_highway3,342,224,224,224
tiles/dirty_highway_dirty_highway8__f001108__x0224_y0224.jpg,0.0,clean,dirty_highway_dirty_highway8,1108,224,224,224
tiles/dirty_sector_dirty_sector9__f000288__x0224_y0224.jpg,1.0,unclean,dirty_sector_dirty_sector9,288,224,224,224
tiles/dirty_sector_dirty_sector7__f001266__x0224_y0224.jpg,1.0,unclean,dirty_sector_dirty_sector7,1266,224,224,224
tiles/clean_highway_clean_highway7__f000816__x0448_y0224.jpg,0.0,clean,clean_highway_clean_highway7,816,448,224,224
tiles/dirty_sector_dirty_sector9__f000162__x0448_y0224.jpg,1.0,unclean,dirty_sector_dirty_sector9,162,448,224,224
tiles/dirty_highway_dirty_highway8__f000892__x0224_y0224.jpg,1.0,unclean,dirty_highway_dirty_highway8,892,224,224,224
tiles/dirty_sector_dirty_sector2__f000966__x0224_y0224.jpg,0.0,clean,dirty_sector_dirty_sector2,966,224,224,224
tiles/dirty_highway_dirty_highway4__f000810__x0448_y0224.jpg,2.0,ignore,dirty_highway_dirty_highway4,810,448,224,224
tiles/dirty_highway_dirty_highway5__f000078__x0448_y0224.jpg,2.0,ignore,dirty_highway_dirty_highway5,78,448,224,224
tiles/dirty_sector_dirty_sector6__f000090__x0224_y0224.jpg,1.0,unclean,dirty_sector_dirty_sector6,90,224,224,224
tiles/dirty_sector_dirty_sector1__f001266__x0448_y0224.jpg,0.0,clean,dirty_sector_dirty_sector1,1266,448,224,224
tiles/clean_highway_clean_highway11__f002500__x0448_y0224.jpg,2.0,ignore,clean_highway_clean_highway11,2500,448,224,224
tiles/dirty_sector_dirty_sector1__f000828__x0224_y0224.jpg,0.0,clean,dirty_sector_dirty_sector1,828,224,224,224
tiles/dirty_highway_dirty_highway10__f000414__x0224_y0224.jpg,0.0,clean,dirty_highway_dirty_highway10,414,224,224,224
tiles/clean_highway_clean_highway6__f000695__x0224_y0224.jpg,1.0,unclean,clean_highway_clean_highway6,695,224,224,224
tiles/dirty_sector_dirty_sector1__f000816__x0224_y0224.jpg,1.0,unclean,dirty_sector_dirty_sector1,816,224,224,224
tiles/dirty_sector_dirty_sector4__f001710__x0224_y0224.jpg,2.0,ignore,dirty_sector_dirty_sector4,1710,224,224,224
tiles/dirty_highway_dirty_highway11__f001632__x0448_y0224.jpg,2.0,ignore,dirty_highway_dirty_highway11,1632,448,224,224
tiles/clean_highway_clean_highway1__f001266__x0448_y0224.jpg,1.0,unclean,clean_highway_clean_highway1,1266,448,224,224
tiles/clean_highway_clean_highway1__f000828__x0224_y0224.jpg,0.0,clean,clean_highway_clean_highway1,828,224,224,224
tiles/clean_highway_clean_highway6__f000090__x0224_y0224.jpg,1.0,unclean,clean_highway_clean_highway6,90,224,224,224
tiles/dirty_highway_dirty_highway2__f000810__x0224_y0224.jpg,0.0,clean,dirty_highway_dirty_highway2,810,224,224,224
tiles/dirty_sector_dirty_sector4__f000966__x0448_y0224.jpg,2.0,ignore,dirty_sector_dirty_sector4,966,448,224,224
tiles/dirty_sector_dirty_sector9__f000660__x0448_y0224.jpg,0.0,clean,dirty_sector_dirty_sector9,660,448,224,224
tiles/clean_highway_clean_highway11__f002305__x0448_y0224.jpg,2.0,ignore,clean_highway_clean_highway11,2305,448,224,224
tiles/dirty_highway_dirty_highway10__f000012__x0224_y0224.jpg,2.0,ignore,dirty_highway_dirty_highway10,12,224,224,224
tiles/clean_highway_clean_highway1__f000816__x0224_y0224.jpg,0.0,clean,clean_highway_clean_highway1,816,224,224,224
tiles/clean_highway_clean_highway11__f001245__x0224_y0224.jpg,0.0,clean,clean_highway_clean_highway11,1245,224,224,224
tiles/dirty_sector_dirty_sector1__f001686__x0448_y0224.jpg,0.0,clean,dirty_sector_dirty_sector1,1686,448,224,224
tiles/dirty_highway_dirty_highway9__f000720__x0224_y0224.jpg,1.0,unclean,dirty_highway_dirty_highway9,720,224,224,224
tiles/clean_highway_clean_highway11__f000835__x0448_y0224.jpg,2.0,ignore,clean_highway_clean_highway11,835,448,224,224
tiles/dirty_highway_dirty_highway9__f000318__x0224_y0224.jpg,0.0,clean,dirty_highway_dirty_highway9,318,224,224,224
tiles/clean_highway_clean_highway6__f000470__x0224_y0224.jpg,0.0,clean,clean_highway_clean_highway6,470,224,224,224
tiles/clean_highway_clean_highway1__f001686__x0448_y0224.jpg,0.0,clean,clean_highway_clean_highway1,1686,448,224,224
tiles/dirty_sector_dirty_sector6__f000048__x0224_y0224.jpg,0.0,clean,dirty_sector_dirty_sector6,48,224,224,224
tiles/clean_highway_clean_highway2__f001320__x0224_y0224.jpg,1.0,unclean,clean_highway_clean_highway2,1320,224,224,224
tiles/clean_highway_clean_highway7__f001668__x0448_y0224.jpg,0.0,clean,clean_highway_clean_highway7,1668,448,224,224
tiles/clean_highway_clean_highway6__f001135__x0224_y0224.jpg,0.0,clean,clean_highway_clean_highway6,1135,224,224,224
tiles/dirty_highway_dirty_highway11__f000192__x0448_y0224.jpg,2.0,ignore,dirty_highway_dirty_highway11,192,448,224,224
tiles/dirty_highway_dirty_highway1__f000066__x0224_y0224.jpg,1.0,unclean,dirty_highway_dirty_highway1,66,224,224,224
tiles/dirty_sector_dirty_sector1__f000612__x0224_y0224.jpg,1.0,unclean,dirty_sector_dirty_sector1,612,224,224,224
tiles/clean_highway_clean_highway7__f000528__x0448_y0224.jpg,0.0,clean,clean_highway_clean_highway7,528,448,224,224
tiles/dirty_highway_dirty_highway4__f001854__x0448_y0224.jpg,0.0,clean,dirty_highway_dirty_highway4,1854,448,224,224
tiles/dirty_highway_dirty_highway7__f000456__x0224_y0224.jpg,0.0,clean,dirty_highway_dirty_highway7,456,224,224,224
tiles/clean_highway_clean_highway1__f000126__x0448_y0224.jpg,0.0,clean,clean_highway_clean_highway1,126,448,224,224
tiles/clean_highway_clean_highway7__f000624__x0224_y0224.jpg,1.0,unclean,clean_highway_clean_highway7,624,224,224,224
tiles/clean_highway_clean_highway11__f003045__x0448_y0224.jpg,2.0,ignore,clean_highway_clean_highway11,3045,448,224,224
tiles/dirty_highway_dirty_highway4__f000120__x0224_y0224.jpg,1.0,unclean,dirty_highway_dirty_highway4,120,224,224,224
tiles/clean_highway_clean_highway11__f000330__x0448_y0224.jpg,2.0,ignore,clean_highway_clean_highway11,330,448,224,224
tiles/clean_highway_clean_highway6__f000970__x0224_y0224.jpg,2.0,ignore,clean_highway_clean_highway6,970,224,224,224
tiles/clean_highway_clean_highway5__f001698__x0224_y0224.jpg,0.0,clean,clean_highway_clean_highway5,1698,224,224,224
tiles/dirty_highway_dirty_highway7__f000486__x0448_y0224.jpg,0.0,clean,dirty_highway_dirty_highway7,486,448,224,224
tiles/clean_highway_clean_highway11__f001940__x0224_y0224.jpg,2.0,ignore,clean_highway_clean_highway11,1940,224,224,224
tiles/clean_highway_clean_highway6__f001300__x0448_y0224.jpg,2.0,ignore,clean_highway_clean_highway6,1300,448,224,224
tiles/dirty_highway_dirty_highway8__f000696__x0224_y0224.jpg,0.0,clean,dirty_highway_dirty_highway8,696,224,224,224
tiles/dirty_highway_dirty_highway8__f000144__x0448_y0224.jpg,1.0,unclean,dirty_highway_dirty_highway8,144,448,224,224
tiles/clean_highway_clean_highway9__f001110__x0224_y0224.jpg,2.0,ignore,clean_highway_clean_highway9,1110,224,224,224
tiles/dirty_highway_dirty_highway11__f000690__x0448_y0224.jpg,2.0,ignore,dirty_highway_dirty_highway11,690,448,224,224
tiles/clean_highway_clean_highway7__f000612__x0448_y0224.jpg,1.0,unclean,clean_highway_clean_highway7,612,448,224,224
tiles/dirty_highway_dirty_highway3__f002544__x0448_y0224.jpg,1.0,unclean,dirty_highway_dirty_highway3,2544,448,224,224
tiles/dirty_highway_dirty_highway9__f000912__x0448_y0224.jpg,0.0,clean,dirty_highway_dirty_highway9,912,448,224,224
tiles/dirty_sector_dirty_sector1__f000516__x0224_y0224.jpg,1.0,unclean,dirty_sector_dirty_sector1,516,224,224,224
tiles/dirty_highway_dirty_highway7__f000066__x0448_y0224.jpg,2.0,ignore,dirty_highway_dirty_highway7,66,448,224,224
tiles/clean_highway_clean_highway1__f000516__x0224_y0224.jpg,0.0,clean,clean_highway_clean_highway1,516,224,224,224
tiles/clean_highway_clean_highway9__f001398__x0448_y0224.jpg,0.0,clean,clean_highway_clean_highway9,1398,448,224,224
tiles/dirty_sector_dirty_sector7__f006372__x0448_y0224.jpg,1.0,unclean,dirty_sector_dirty_sector7,6372,448,224,224
tiles/dirty_sector_dirty_sector1__f000072__x0224_y0224.jpg,2.0,ignore,dirty_sector_dirty_sector1,72,224,224,224
tiles/clean_highway_clean_highway1__f000474__x0224_y0224.jpg,2.0,ignore,clean_highway_clean_highway1,474,224,224,224
tiles/dirty_highway_dirty_highway11__f000426__x0224_y0224.jpg,1.0,unclean,dirty_highway_dirty_highway11,426,224,224,224
tiles/dirty_highway_dirty_highway2__f000798__x0448_y0224.jpg,0.0,clean,dirty_highway_dirty_highway2,798,448,224,224
tiles/dirty_highway_dirty_highway9__f000870__x0448_y0224.jpg,0.0,clean,dirty_highway_dirty_highway9,870,448,224,224
tiles/dirty_sector_dirty_sector1__f000474__x0224_y0224.jpg,0.0,clean,dirty_sector_dirty_sector1,474,224,224,224
tiles/clean_highway_clean_highway5__f001722__x0224_y0224.jpg,1.0,unclean,clean_highway_clean_highway5,1722,224,224,224
tiles/dirty_sector_dirty_sector8__f000180__x0224_y0224.jpg,0.0,clean,dirty_sector_dirty_sector8,180,224,224,224
tiles/dirty_highway_dirty_highway3__f002418__x0448_y0224.jpg,1.0,unclean,dirty_highway_dirty_highway3,2418,448,224,224
tiles/dirty_sector_dirty_sector1__f000492__x0224_y0224.jpg,0.0,clean,dirty_sector_dirty_sector1,492,224,224,224
tiles/dirty_sector_dirty_sector4__f000636__x0224_y0224.jpg,2.0,ignore,dirty_sector_dirty_sector4,636,224,224,224
tiles/dirty_highway_dirty_highway3__f001566__x0224_y0224.jpg,0.0,clean,dirty_highway_dirty_highway3,1566,224,224,224
tiles/dirty_highway_dirty_highway1__f000132__x0448_y0224.jpg,1.0,unclean,dirty_highway_dirty_highway1,132,448,224,224
tiles/dirty_sector_dirty_sector7__f004842__x0448_y0224.jpg,2.0,ignore,dirty_sector_dirty_sector7,4842,448,224,224
tiles/clean_highway_clean_highway7__f000390__x0448_y0224.jpg,0.0,clean,clean_highway_clean_highway7,390,448,224,224
tiles/dirty_highway_dirty_highway6__f001428__x0448_y0224.jpg,2.0,ignore,dirty_highway_dirty_highway6,1428,448,224,224
tiles/clean_highway_clean_highway5__f001410__x0448_y0224.jpg,0.0,clean,clean_highway_clean_highway5,1410,448,224,224
tiles/dirty_highway_dirty_highway7__f000534__x0224_y0224.jpg,0.0,clean,dirty_highway_dirty_highway7,534,224,224,224
tiles/dirty_highway_dirty_highway2__f000444__x0448_y0224.jpg,0.0,clean,dirty_highway_dirty_highway2,444,448,224,224
tiles/dirty_highway_dirty_highway4__f001908__x0448_y0224.jpg,0.0,clean,dirty_highway_dirty_highway4,1908,448,224,224
tiles/dirty_highway_dirty_highway3__f002028__x0224_y0224.jpg,1.0,unclean,dirty_highway_dirty_highway3,2028,224,224,224
tiles/clean_highway_clean_highway2__f000636__x0448_y0224.jpg,1.0,unclean,clean_highway_clean_highway2,636,448,224,224
tiles/clean_highway_clean_highway11__f001925__x0224_y0224.jpg,0.0,clean,clean_highway_clean_highway11,1925,224,224,224
tiles/dirty_highway_dirty_highway6__f001314__x0448_y0224.jpg,1.0,unclean,dirty_highway_dirty_highway6,1314,448,224,224
tiles/dirty_highway_dirty_highway3__f002016__x0224_y0224.jpg,1.0,unclean,dirty_highway_dirty_highway3,2016,224,224,224
tiles/dirty_highway_dirty_highway4__f000378__x0224_y0224.jpg,1.0,unclean,dirty_highway_dirty_highway4,378,224,224,224
tiles/dirty_sector_dirty_sector2__f000504__x0224_y0224.jpg,1.0,unclean,dirty_sector_dirty_sector2,504,224,224,224
tiles/dirty_sector_dirty_sector9__f001770__x0224_y0224.jpg,1.0,unclean,dirty_sector_dirty_sector9,1770,224,224,224
tiles/clean_highway_clean_highway9__f002502__x0224_y0224.jpg,0.0,clean,clean_highway_clean_highway9,2502,224,224,224
tiles/clean_highway_clean_highway5__f000984__x0224_y0224.jpg,0.0,clean,clean_highway_clean_highway5,984,224,224,224
tiles/dirty_sector_dirty_sector8__f000150__x0448_y0224.jpg,0.0,clean,dirty_sector_dirty_sector8,150,448,224,224
tiles/clean_highway_clean_highway7__f000072__x0448_y0224.jpg,0.0,clean,clean_highway_clean_highway7,72,448,224,224
tiles/clean_highway_clean_highway1__f001008__x0224_y0224.jpg,1.0,unclean,clean_highway_clean_highway1,1008,224,224,224
tiles/dirty_highway_dirty_highway3__f000216__x0448_y0224.jpg,1.0,unclean,dirty_highway_dirty_highway3,216,448,224,224
tiles/dirty_highway_dirty_highway7__f001578__x0448_y0224.jpg,2.0,ignore,dirty_highway_dirty_highway7,1578,448,224,224
tiles/dirty_sector_dirty_sector6__f000114__x0224_y0224.jpg,2.0,ignore,dirty_sector_dirty_sector6,114,224,224,224
tiles/dirty_sector_dirty_sector9__f000036__x0224_y0224.jpg,1.0,unclean,dirty_sector_dirty_sector9,36,224,224,224
tiles/dirty_sector_dirty_sector1__f001008__x0224_y0224.jpg,1.0,unclean,dirty_sector_dirty_sector1,1008,224,224,224
tiles/dirty_sector_dirty_sector2__f001242__x0224_y0224.jpg,1.0,unclean,dirty_sector_dirty_sector2,1242,224,224,224
tiles/clean_highway_clean_highway2__f001644__x0224_y0224.jpg,0.0,clean,clean_highway_clean_highway2,1644,224,224,224
tiles/dirty_highway_dirty_highway9__f000441__x0224_y0224.jpg,0.0,clean,dirty_highway_dirty_highway9,441,224,224,224
tiles/dirty_highway_dirty_highway9__f000393__x0448_y0224.jpg,0.0,clean,dirty_highway_dirty_highway9,393,448,224,224
tiles/dirty_highway_dirty_highway10__f000447__x0448_y0224.jpg,0.0,clean,dirty_highway_dirty_highway10,447,448,224,224
tiles/dirty_sector_dirty_sector9__f000702__x0448_y0224.jpg,1.0,unclean,dirty_sector_dirty_sector9,702,448,224,224
tiles/clean_highway_clean_highway11__f001610__x0448_y0224.jpg,2.0,ignore,clean_highway_clean_highway11,1610,448,224,224
tiles/dirty_highway_dirty_highway8__f000920__x0448_y0224.jpg,0.0,clean,dirty_highway_dirty_highway8,920,448,224,224
tiles/clean_highway_clean_highway9__f001974__x0224_y0224.jpg,2.0,ignore,clean_highway_clean_highway9,1974,224,224,224
tiles/dirty_highway_dirty_highway5__f000618__x0448_y0224.jpg,1.0,unclean,dirty_highway_dirty_highway5,618,448,224,224
tiles/dirty_highway_dirty_highway11__f001368__x0448_y0224.jpg,0.0,clean,dirty_highway_dirty_highway11,1368,448,224,224
tiles/dirty_sector_dirty_sector7__f004248__x0224_y0224.jpg,1.0,unclean,dirty_sector_dirty_sector7,4248,224,224,224
tiles/dirty_highway_dirty_highway10__f000099__x0448_y0224.jpg,2.0,ignore,dirty_highway_dirty_highway10,99,448,224,224
tiles/clean_highway_clean_highway5__f000780__x0224_y0224.jpg,1.0,unclean,clean_highway_clean_highway5,780,224,224,224
tiles/clean_highway_clean_highway9__f000702__x0448_y0224.jpg,0.0,clean,clean_highway_clean_highway9,702,448,224,224
tiles/dirty_highway_dirty_highway3__f000522__x0224_y0224.jpg,1.0,unclean,dirty_highway_dirty_highway3,522,224,224,224
tiles/dirty_highway_dirty_highway9__f000570__x0448_y0224.jpg,0.0,clean,dirty_highway_dirty_highway9,570,448,224,224
tiles/dirty_sector_dirty_sector7__f002148__x0224_y0224.jpg,2.0,ignore,dirty_sector_dirty_sector7,2148,224,224,224
tiles/dirty_highway_dirty_highway6__f000084__x0224_y0224.jpg,2.0,ignore,dirty_highway_dirty_highway6,84,224,224,224
tiles/dirty_highway_dirty_highway4__f001704__x0224_y0224.jpg,1.0,unclean,dirty_highway_dirty_highway4,1704,224,224,224
tiles/clean_highway_clean_highway5__f000750__x0448_y0224.jpg,2.0,ignore,clean_highway_clean_highway5,750,448,224,224
tiles/dirty_sector_dirty_sector4__f001170__x0224_y0224.jpg,1.0,unclean,dirty_sector_dirty_sector4,1170,224,224,224
tiles/dirty_highway_dirty_highway5__f000522__x0448_y0224.jpg,1.0,unclean,dirty_highway_dirty_highway5,522,448,224,224
tiles/clean_highway_clean_highway9__f000000__x0448_y0224.jpg,2.0,ignore,clean_highway_clean_highway9,0,448,224,224
tiles/dirty_highway_dirty_highway5__f000228__x0224_y0224.jpg,1.0,unclean,dirty_highway_dirty_highway5,228,224,224,224
tiles/clean_highway_clean_highway6__f000210__x0224_y0224.jpg,1.0,unclean,clean_highway_clean_highway6,210,224,224,224
tiles/clean_highway_clean_highway11__f001220__x0224_y0224.jpg,2.0,ignore,clean_highway_clean_highway11,1220,224,224,224
tiles/dirty_highway_dirty_highway7__f000834__x0224_y0224.jpg,1.0,unclean,dirty_highway_dirty_highway7,834,224,224,224
tiles/dirty_highway_dirty_highway5__f000216__x0224_y0224.jpg,0.0,clean,dirty_highway_dirty_highway5,216,224,224,224
